,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
0,cap vanilla custard v,"MannwhitneyuResult(statistic=226.5, pvalue=0.48951294743193779)","MannwhitneyuResult(statistic=217.0, pvalue=0.46100944157070689)","MannwhitneyuResult(statistic=223.0, pvalue=0.47904093348955967)","MannwhitneyuResult(statistic=190.5, pvalue=0.38339703248152046)","MannwhitneyuResult(statistic=213.5, pvalue=0.45062189874666464)","MannwhitneyuResult(statistic=206.5, pvalue=0.42985841709635031)"
1,rootbeer,"MannwhitneyuResult(statistic=197.0, pvalue=0.40211414820821867)","MannwhitneyuResult(statistic=224.0, pvalue=0.48198196885981526)","MannwhitneyuResult(statistic=209.0, pvalue=0.43735366685588972)","MannwhitneyuResult(statistic=154.5, pvalue=0.28539881111354404)","MannwhitneyuResult(statistic=148.0, pvalue=0.26871458759562217)","MannwhitneyuResult(statistic=155.0, pvalue=0.28635676677596389)"
2,vanilla bean gelato,"MannwhitneyuResult(statistic=29.0, pvalue=0.065542522338635056)","MannwhitneyuResult(statistic=217.0, pvalue=0.46100944157070689)","MannwhitneyuResult(statistic=121.0, pvalue=0.20654795332543918)","MannwhitneyuResult(statistic=70.0, pvalue=0.11482022230782535)","MannwhitneyuResult(statistic=15.5, pvalue=0.053351561250241736)","MannwhitneyuResult(statistic=22.5, pvalue=0.059315500517227393)"
3,fe lemon,"MannwhitneyuResult(statistic=110.0, pvalue=0.18368115921145795)","MannwhitneyuResult(statistic=48.5, pvalue=0.085837400168201294)","MannwhitneyuResult(statistic=50.5, pvalue=0.088848788920155852)","MannwhitneyuResult(statistic=217.0, pvalue=0.46112216932796257)","MannwhitneyuResult(statistic=48.0, pvalue=0.085519016284761329)","MannwhitneyuResult(statistic=41.0, pvalue=0.077582081214595491)"
4,caramel cream,"MannwhitneyuResult(statistic=177.5, pvalue=0.34665910617741524)","MannwhitneyuResult(statistic=48.5, pvalue=0.085837400168201294)","MannwhitneyuResult(statistic=121.0, pvalue=0.20654795332543918)","MannwhitneyuResult(statistic=190.5, pvalue=0.38339703248152046)","MannwhitneyuResult(statistic=48.0, pvalue=0.085519016284761329)","MannwhitneyuResult(statistic=41.0, pvalue=0.077582081214595491)"
5,menthol,"MannwhitneyuResult(statistic=10.5, pvalue=0.049597920083327911)","MannwhitneyuResult(statistic=19.5, pvalue=0.056476591958444629)","MannwhitneyuResult(statistic=15.5, pvalue=0.053632520213320829)","MannwhitneyuResult(statistic=8.5, pvalue=0.048153421372526532)","MannwhitneyuResult(statistic=176.5, pvalue=0.34371269878278959)","MannwhitneyuResult(statistic=169.5, pvalue=0.32455621618421887)"
6,d wine,"MannwhitneyuResult(statistic=152.0, pvalue=0.27897170442989649)","MannwhitneyuResult(statistic=208.5, pvalue=0.43569410658169277)","MannwhitneyuResult(statistic=202.0, pvalue=0.41673906885689366)","MannwhitneyuResult(statistic=78.0, pvalue=0.12688892242314281)","MannwhitneyuResult(statistic=66.0, pvalue=0.10871695146134303)","MannwhitneyuResult(statistic=73.0, pvalue=0.11885379969950505)"
7,tfa peanut butter,"MannwhitneyuResult(statistic=110.0, pvalue=0.18368115921145795)","MannwhitneyuResult(statistic=48.5, pvalue=0.085837400168201294)","MannwhitneyuResult(statistic=50.5, pvalue=0.088848788920155852)","MannwhitneyuResult(statistic=217.0, pvalue=0.46112216932796257)","MannwhitneyuResult(statistic=48.0, pvalue=0.085519016284761329)","MannwhitneyuResult(statistic=41.0, pvalue=0.077582081214595491)"
8,raspberry v,"MannwhitneyuResult(statistic=64.0, pvalue=0.10621307251122042)","MannwhitneyuResult(statistic=153.5, pvalue=0.28228652515609587)","MannwhitneyuResult(statistic=92.5, pvalue=0.15093028905534833)","MannwhitneyuResult(statistic=117.0, pvalue=0.19810314294775322)","MannwhitneyuResult(statistic=66.0, pvalue=0.10871695146134303)","MannwhitneyuResult(statistic=73.0, pvalue=0.11885379969950505)"
9,strawberry cloud,"MannwhitneyuResult(statistic=140.0, pvalue=0.24951043588315869)","MannwhitneyuResult(statistic=189.5, pvalue=0.38019577167925478)","MannwhitneyuResult(statistic=162.5, pvalue=0.30613525731984742)","MannwhitneyuResult(statistic=92.0, pvalue=0.15007588361502799)","MannwhitneyuResult(statistic=98.0, pvalue=0.16042378594411283)","MannwhitneyuResult(statistic=91.0, pvalue=0.14792790028488789)"
10,liquid barn,"MannwhitneyuResult(statistic=212.0, pvalue=0.44622413706817127)","MannwhitneyuResult(statistic=189.5, pvalue=0.38019577167925478)","MannwhitneyuResult(statistic=202.0, pvalue=0.41673906885689366)","MannwhitneyuResult(statistic=214.0, pvalue=0.4521904594167665)","MannwhitneyuResult(statistic=213.5, pvalue=0.45062189874666464)","MannwhitneyuResult(statistic=206.5, pvalue=0.42985841709635031)"
11,coconut fl,"MannwhitneyuResult(statistic=197.0, pvalue=0.40211414820821867)","MannwhitneyuResult(statistic=208.5, pvalue=0.43569410658169277)","MannwhitneyuResult(statistic=214.5, pvalue=0.45367396502355389)","MannwhitneyuResult(statistic=117.0, pvalue=0.19810314294775322)","MannwhitneyuResult(statistic=108.0, pvalue=0.17943726512999292)","MannwhitneyuResult(statistic=115.0, pvalue=0.19355571806389571)"
12,pineapp,"MannwhitneyuResult(statistic=1.5, pvalue=0.043047368035866868)","MannwhitneyuResult(statistic=1.5, pvalue=0.042661964346394153)","MannwhitneyuResult(statistic=1.5, pvalue=0.043105736183894176)","MannwhitneyuResult(statistic=99.5, pvalue=0.16359304325477897)","MannwhitneyuResult(statistic=121.0, pvalue=0.20618099669846779)","MannwhitneyuResult(statistic=128.0, pvalue=0.22151103066365418)"
13,vanilla butter,"MannwhitneyuResult(statistic=5.0, pvalue=0.045506529970827929)","MannwhitneyuResult(statistic=208.5, pvalue=0.43569410658169277)","MannwhitneyuResult(statistic=5.5, pvalue=0.0459272481002952)","MannwhitneyuResult(statistic=27.0, pvalue=0.063738177756485298)","MannwhitneyuResult(statistic=7.5, pvalue=0.047131097923257287)","MannwhitneyuResult(statistic=0.5, pvalue=0.042175964520146991)"
