,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
279,e brown sugar,0,0,0,0,0,0
420,tres lech,0,0,0,0,0,0
315,blue lemonade,0,0,0,0,0,0
184,toasted coconut,0,0,0,0,0,0
296,frosted donut,0,0,0,0,0,0
443,s raspberry,0,0,0,0,0,0
302,apple green,0,0,0,0,0,0
297,peach juicy,0,0,0,0,0,0
324,c rum,0,0,0,0,0,0
259,caramel cappuccino,0,0,0,0,0,0
288,dairy milk,0,0,0,0,0,0
93,cap vanilla bean ice,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=102.5, pvalue=0.16857475439830805)","MannwhitneyuResult(statistic=109.5, pvalue=0.18270432593861541)","MannwhitneyuResult(statistic=97.0, pvalue=0.15901032376725671)","MannwhitneyuResult(statistic=93.5, pvalue=0.15219825544051541)","MannwhitneyuResult(statistic=94.0, pvalue=0.15308564887453302)"
132,coconut ext,"MannwhitneyuResult(statistic=137.5, pvalue=0.24355016640661897)","MannwhitneyuResult(statistic=144.0, pvalue=0.25868421242436912)","MannwhitneyuResult(statistic=135.5, pvalue=0.23891214920228798)","MannwhitneyuResult(statistic=153.0, pvalue=0.28159554498260825)","MannwhitneyuResult(statistic=153.0, pvalue=0.2811670593114502)","MannwhitneyuResult(statistic=132.5, pvalue=0.23159391362518628)"
360,cap butter cream,0,0,0,0,0,0
438,coconut vi,0,0,0,0,0,0
258,strawberry concentrate,0,0,0,0,0,0
139,strawberry capella,"MannwhitneyuResult(statistic=137.5, pvalue=0.24355016640661897)","MannwhitneyuResult(statistic=144.0, pvalue=0.25868421242436912)","MannwhitneyuResult(statistic=135.5, pvalue=0.23891214920228798)","MannwhitneyuResult(statistic=153.0, pvalue=0.28159554498260825)","MannwhitneyuResult(statistic=153.0, pvalue=0.2811670593114502)","MannwhitneyuResult(statistic=138.5, pvalue=0.24558044260788675)"
227,inw raspberry,0,0,0,0,0,0
205,cream fresh,0,0,0,0,0,0
113,menthol crystal,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=102.5, pvalue=0.16857475439830805)","MannwhitneyuResult(statistic=109.5, pvalue=0.18270432593861541)","MannwhitneyuResult(statistic=121.0, pvalue=0.20658019602795691)","MannwhitneyuResult(statistic=112.5, pvalue=0.1883233987384797)","MannwhitneyuResult(statistic=112.5, pvalue=0.1883233987384797)"
18,butter caramel,"MannwhitneyuResult(statistic=14.5, pvalue=0.052724195078940057)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=18.5, pvalue=0.056157098909324021)","MannwhitneyuResult(statistic=14.5, pvalue=0.052457065437173982)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
