,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
0,cap vanilla custard v,"MannwhitneyuResult(statistic=217.5, pvalue=0.46400933431740926)","MannwhitneyuResult(statistic=223.5, pvalue=0.4819433929600756)","MannwhitneyuResult(statistic=229.0, pvalue=0.49849887801655729)","MannwhitneyuResult(statistic=183.0, pvalue=0.36321049639293268)","MannwhitneyuResult(statistic=214.5, pvalue=0.45499303587117323)","MannwhitneyuResult(statistic=207.5, pvalue=0.43415102406832573)"
1,rootbeer,"MannwhitneyuResult(statistic=205.0, pvalue=0.42683418753420188)","MannwhitneyuResult(statistic=218.5, pvalue=0.4669232380543194)","MannwhitneyuResult(statistic=217.0, pvalue=0.46252720158822697)","MannwhitneyuResult(statistic=161.5, pvalue=0.30443732860049127)","MannwhitneyuResult(statistic=147.0, pvalue=0.26702914128690691)","MannwhitneyuResult(statistic=154.0, pvalue=0.28465695446796513)"
2,vanilla bean gelato,"MannwhitneyuResult(statistic=37.0, pvalue=0.073640850302917435)","MannwhitneyuResult(statistic=223.5, pvalue=0.4819433929600756)","MannwhitneyuResult(statistic=129.5, pvalue=0.22585600852866217)","MannwhitneyuResult(statistic=76.5, pvalue=0.1248168915812824)","MannwhitneyuResult(statistic=15.5, pvalue=0.05337759147540428)","MannwhitneyuResult(statistic=22.5, pvalue=0.059357400633932723)"
3,fe lemon,"MannwhitneyuResult(statistic=117.5, pvalue=0.19955807839255552)","MannwhitneyuResult(statistic=56.5, pvalue=0.095842720957624195)","MannwhitneyuResult(statistic=58.0, pvalue=0.098404313954584266)","MannwhitneyuResult(statistic=223.5, pvalue=0.48199471483562684)","MannwhitneyuResult(statistic=48.0, pvalue=0.085640023711185065)","MannwhitneyuResult(statistic=41.0, pvalue=0.077677771169153129)"
4,caramel cream,"MannwhitneyuResult(statistic=185.5, pvalue=0.37023083040547244)","MannwhitneyuResult(statistic=56.5, pvalue=0.095842720957624195)","MannwhitneyuResult(statistic=129.5, pvalue=0.22585600852866217)","MannwhitneyuResult(statistic=183.0, pvalue=0.36321049639293268)","MannwhitneyuResult(statistic=48.0, pvalue=0.085640023711185065)","MannwhitneyuResult(statistic=41.0, pvalue=0.077677771169153129)"
5,menthol,"MannwhitneyuResult(statistic=10.5, pvalue=0.049608355981524632)","MannwhitneyuResult(statistic=19.5, pvalue=0.056521248401106262)","MannwhitneyuResult(statistic=15.5, pvalue=0.053648839241202124)","MannwhitneyuResult(statistic=7.5, pvalue=0.047417805789989421)","MannwhitneyuResult(statistic=177.5, pvalue=0.34755644228718119)","MannwhitneyuResult(statistic=170.5, pvalue=0.3282736042706309)"
6,d wine,"MannwhitneyuResult(statistic=160.0, pvalue=0.30041384644432056)","MannwhitneyuResult(statistic=203.5, pvalue=0.42222759792905118)","MannwhitneyuResult(statistic=210.0, pvalue=0.44166562513571878)","MannwhitneyuResult(statistic=85.5, pvalue=0.13928897614504371)","MannwhitneyuResult(statistic=65.5, pvalue=0.10821482958727779)","MannwhitneyuResult(statistic=72.5, pvalue=0.11834150197062293)"
7,tfa peanut butter,"MannwhitneyuResult(statistic=117.5, pvalue=0.19955807839255552)","MannwhitneyuResult(statistic=56.5, pvalue=0.095842720957624195)","MannwhitneyuResult(statistic=58.0, pvalue=0.098404313954584266)","MannwhitneyuResult(statistic=223.5, pvalue=0.48199471483562684)","MannwhitneyuResult(statistic=48.0, pvalue=0.085640023711185065)","MannwhitneyuResult(statistic=41.0, pvalue=0.077677771169153129)"
8,raspberry v,"MannwhitneyuResult(statistic=71.5, pvalue=0.11712848622283595)","MannwhitneyuResult(statistic=161.0, pvalue=0.3026060623388438)","MannwhitneyuResult(statistic=100.5, pvalue=0.16582384279077195)","MannwhitneyuResult(statistic=124.0, pvalue=0.21364548649870907)","MannwhitneyuResult(statistic=65.5, pvalue=0.10821482958727779)","MannwhitneyuResult(statistic=72.5, pvalue=0.11834150197062293)"
9,strawberry cloud,"MannwhitneyuResult(statistic=133.0, pvalue=0.23377667395456148)","MannwhitneyuResult(statistic=197.0, pvalue=0.4031320494212669)","MannwhitneyuResult(statistic=156.5, pvalue=0.29137837401828626)","MannwhitneyuResult(statistic=86.5, pvalue=0.14096504723433223)","MannwhitneyuResult(statistic=101.0, pvalue=0.16639498211644738)","MannwhitneyuResult(statistic=94.0, pvalue=0.1535635522886668)"
