,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
0,cap vanilla custard v,"RanksumsResult(statistic=-0.19826977735557366, pvalue=0.84283399645215962)","RanksumsResult(statistic=-0.041150331149270004, pvalue=0.9671760501033142)","RanksumsResult(statistic=-0.10848723666625729, pvalue=0.91360920442307436)","RanksumsResult(statistic=-0.41150331149270009, pvalue=0.68070351356478564)","RanksumsResult(statistic=-0.12345099344781002, pvalue=0.90174997892099462)","RanksumsResult(statistic=0.17582414218324457, pvalue=0.86043210237665724)"
1,rootbeer,"RanksumsResult(statistic=0.082300662298540009, pvalue=0.93440762777074593)","RanksumsResult(statistic=-0.16834226379246819, pvalue=0.86631402656819045)","RanksumsResult(statistic=0.0, pvalue=1.0)","RanksumsResult(statistic=0.44891270344658191, pvalue=0.65349463169896715)","RanksumsResult(statistic=0.61725496723905005, pvalue=0.53706656494215077)","RanksumsResult(statistic=-0.56488181850361552, pvalue=0.57215415106803169)"
2,vanilla bean gelato,"RanksumsResult(statistic=1.331774353558193, pvalue=0.18293434787543073)","RanksumsResult(statistic=-0.041150331149270004, pvalue=0.9671760501033142)","RanksumsResult(statistic=0.64344154160676736, pvalue=0.51993763544118443)","RanksumsResult(statistic=1.088613305857961, pvalue=0.27632444663861166)","RanksumsResult(statistic=1.5898991580399775, pvalue=0.11185753748748525)","RanksumsResult(statistic=-1.5375260093045429, pvalue=0.12416455084188065)"
3,fe lemon,"RanksumsResult(statistic=0.74444689988224833, pvalue=0.45660615442323571)","RanksumsResult(statistic=1.2120642993057711, pvalue=0.22548776832945405)","RanksumsResult(statistic=1.1783958465472775, pvalue=0.23863883278535225)","RanksumsResult(statistic=-0.014963756781552729, pvalue=0.98806109504208051)","RanksumsResult(statistic=-1.3280334143628048, pvalue=0.18416706851267639)","RanksumsResult(statistic=1.3804065630982394, pvalue=0.16746150055842912)"
4,caramel cream,"RanksumsResult(statistic=0.22819729091867913, pvalue=0.81949286741905469)","RanksumsResult(statistic=1.2120642993057711, pvalue=0.22548776832945405)","RanksumsResult(statistic=0.64344154160676736, pvalue=0.51993763544118443)","RanksumsResult(statistic=-0.41150331149270009, pvalue=0.68070351356478564)","RanksumsResult(statistic=-1.3280334143628048, pvalue=0.18416706851267639)","RanksumsResult(statistic=1.3804065630982394, pvalue=0.16746150055842912)"
5,menthol,"RanksumsResult(statistic=-1.6572360635569647, pvalue=0.09747175800199552)","RanksumsResult(statistic=-1.5898991580399775, pvalue=0.11185753748748525)","RanksumsResult(statistic=-1.6198266716030829, pvalue=0.10526951518181479)","RanksumsResult(statistic=-1.679681698729294, pvalue=0.093019262427688015)","RanksumsResult(statistic=-0.37783485873420641, pvalue=0.70555327640220333)","RanksumsResult(statistic=0.430208007469641, pvalue=0.66704433766726834)"
6,d wine,"RanksumsResult(statistic=0.42646706827425279, pvalue=0.66976753954715107)","RanksumsResult(statistic=-0.28057043965411366, pvalue=0.77903989138034024)","RanksumsResult(statistic=0.052373148735434555, pvalue=0.95823136895051608)","RanksumsResult(statistic=1.025017339536362, pvalue=0.30535500615815503)","RanksumsResult(statistic=1.2232871168919357, pvalue=0.22122127137150305)","RanksumsResult(statistic=-1.1709139681565011, pvalue=0.2416333599367837)"
7,tfa peanut butter,"RanksumsResult(statistic=0.74444689988224833, pvalue=0.45660615442323571)","RanksumsResult(statistic=1.2120642993057711, pvalue=0.22548776832945405)","RanksumsResult(statistic=1.1783958465472775, pvalue=0.23863883278535225)","RanksumsResult(statistic=-0.014963756781552729, pvalue=0.98806109504208051)","RanksumsResult(statistic=-1.3280334143628048, pvalue=0.18416706851267639)","RanksumsResult(statistic=1.3804065630982394, pvalue=0.16746150055842912)"
8,raspberry v,"RanksumsResult(statistic=1.0736495490764084, pvalue=0.28297978107257438)","RanksumsResult(statistic=0.41898518988347644, pvalue=0.67522695609041405)","RanksumsResult(statistic=0.85667507574389379, pvalue=0.3916244816236728)","RanksumsResult(statistic=0.72574220390530741, pvalue=0.467996823985946)","RanksumsResult(statistic=1.2232871168919357, pvalue=0.22122127137150305)","RanksumsResult(statistic=-1.1709139681565011, pvalue=0.2416333599367837)"
9,strawberry cloud,"RanksumsResult(statistic=-0.80804286620384735, pvalue=0.41906590584740577)","RanksumsResult(statistic=0.14589662862013911, pvalue=0.88400299308369534)","RanksumsResult(statistic=-0.64718248080215557, pvalue=0.51751384839326731)","RanksumsResult(statistic=-1.1222817586164546, pvalue=0.2617426595940936)","RanksumsResult(statistic=-0.94271667723782193, pvalue=0.34582584069248989)","RanksumsResult(statistic=0.99508982597325657, pvalue=0.31969257844092658)"
10,liquid barn,"RanksumsResult(statistic=-0.029927513563105457, pvalue=0.97612486302318724)","RanksumsResult(statistic=0.14589662862013911, pvalue=0.88400299308369534)","RanksumsResult(statistic=0.052373148735434555, pvalue=0.95823136895051608)","RanksumsResult(statistic=-0.23942010850484366, pvalue=0.81077983902055317)","RanksumsResult(statistic=-0.12345099344781002, pvalue=0.90174997892099462)","RanksumsResult(statistic=0.17582414218324457, pvalue=0.86043210237665724)"
11,coconut fl,"RanksumsResult(statistic=0.082300662298540009, pvalue=0.93440762777074593)","RanksumsResult(statistic=-0.28057043965411366, pvalue=0.77903989138034024)","RanksumsResult(statistic=-0.041150331149270004, pvalue=0.9671760501033142)","RanksumsResult(statistic=0.72574220390530741, pvalue=0.467996823985946)","RanksumsResult(statistic=0.90530728528394011, pvalue=0.36530261792325536)","RanksumsResult(statistic=-0.85293413654850558, pvalue=0.39369582989620699)"
12,pineapp,"RanksumsResult(statistic=1.6123447932123065, pvalue=0.10688693106460287)","RanksumsResult(statistic=1.6572360635569647, pvalue=0.09747175800199552)","RanksumsResult(statistic=1.6422723067754121, pvalue=0.10053358359485935)","RanksumsResult(statistic=-1.066167670685632, pvalue=0.28634785366708881)","RanksumsResult(statistic=0.82300662298540017, pvalue=0.41050422714619883)","RanksumsResult(statistic=-0.77063347424996553, pvalue=0.44092421406130289)"
13,vanilla butter,"RanksumsResult(statistic=1.5412669484999311, pvalue=0.12325182945929916)","RanksumsResult(statistic=-0.28057043965411366, pvalue=0.77903989138034024)","RanksumsResult(statistic=1.5263031917183785, pvalue=0.12693437415911421)","RanksumsResult(statistic=1.3991112590751802, pvalue=0.16177962192304562)","RanksumsResult(statistic=-1.6647179419477411, pvalue=0.095969041712535411)","RanksumsResult(statistic=1.7170910906831758, pvalue=0.08596252979180842)"
14,black honey tobacco,"RanksumsResult(statistic=0.22819729091867913, pvalue=0.81949286741905469)","RanksumsResult(statistic=1.2120642993057711, pvalue=0.22548776832945405)","RanksumsResult(statistic=0.64344154160676736, pvalue=0.51993763544118443)","RanksumsResult(statistic=-0.41150331149270009, pvalue=0.68070351356478564)","RanksumsResult(statistic=-1.3280334143628048, pvalue=0.18416706851267639)","RanksumsResult(statistic=1.3804065630982394, pvalue=0.16746150055842912)"
15,aromatic,"RanksumsResult(statistic=-0.19826977735557366, pvalue=0.84283399645215962)","RanksumsResult(statistic=0.74444689988224833, pvalue=0.45660615442323571)","RanksumsResult(statistic=0.052373148735434555, pvalue=0.95823136895051608)","RanksumsResult(statistic=-0.66962811597448468, pvalue=0.5030948862218998)","RanksumsResult(statistic=-0.89408446769777561, pvalue=0.37127669906748018)","RanksumsResult(statistic=0.94645761643321014, pvalue=0.34391523014910685)"
16,yogurt v,"RanksumsResult(statistic=-0.029927513563105457, pvalue=0.97612486302318724)","RanksumsResult(statistic=0.41898518988347644, pvalue=0.67522695609041405)","RanksumsResult(statistic=0.14963756781552728, pvalue=0.88105056703730444)","RanksumsResult(statistic=-0.41150331149270009, pvalue=0.68070351356478564)","RanksumsResult(statistic=-0.42646706827425279, pvalue=0.66976753954715107)","RanksumsResult(statistic=0.47884021700968732, pvalue=0.63205230359650222)"
