,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
279,e brown sugar,0,0,0,0,0,0
420,tres lech,0,0,0,0,0,0
315,blue lemonade,0,0,0,0,0,0
184,toasted coconut,0,0,0,0,0,0
296,frosted donut,0,0,0,0,0,0
443,s raspberry,0,0,0,0,0,0
302,apple green,0,0,0,0,0,0
297,peach juicy,0,0,0,0,0,0
324,c rum,0,0,0,0,0,0
259,caramel cappuccino,0,0,0,0,0,0
288,dairy milk,0,0,0,0,0,0
93,cap vanilla bean ice,"RanksumsResult(statistic=1.0459811846911511, pvalue=0.29556971942201793)","RanksumsResult(statistic=0.95975334509295585, pvalue=0.33717936825401251)","RanksumsResult(statistic=0.90726683403318487, pvalue=0.3642657083570856)","RanksumsResult(statistic=1.0009927466399189, pvalue=0.31683031508867787)","RanksumsResult(statistic=1.0272360021698044, pvalue=0.30430934927643172)","RanksumsResult(statistic=1.023486965665535, pvalue=0.30607765959057021)"
132,coconut ext,"RanksumsResult(statistic=0.69732078979410073, pvalue=0.4856020602608091)","RanksumsResult(statistic=0.64858331523859902, pvalue=0.51660774280805732)","RanksumsResult(statistic=0.71231693581117816, pvalue=0.47626853902974786)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.73481115483679438, pvalue=0.462454512620734)"
360,cap butter cream,0,0,0,0,0,0
438,coconut vi,0,0,0,0,0,0
258,strawberry concentrate,0,0,0,0,0,0
139,strawberry capella,"RanksumsResult(statistic=0.69732078979410073, pvalue=0.4856020602608091)","RanksumsResult(statistic=0.64858331523859902, pvalue=0.51660774280805732)","RanksumsResult(statistic=0.71231693581117816, pvalue=0.47626853902974786)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.58110065816175061, pvalue=0.56117261509835925)","RanksumsResult(statistic=0.68982271678556206, pvalue=0.49030568107691219)"
227,inw raspberry,0,0,0,0,0,0
205,cream fresh,0,0,0,0,0,0
113,menthol crystal,"RanksumsResult(statistic=1.0459811846911511, pvalue=0.29556971942201793)","RanksumsResult(statistic=0.95975334509295585, pvalue=0.33717936825401251)","RanksumsResult(statistic=0.90726683403318487, pvalue=0.3642657083570856)","RanksumsResult(statistic=0.82103899443498962, pvalue=0.41162405713954453)","RanksumsResult(statistic=0.88477261500756865, pvalue=0.37627928216718565)","RanksumsResult(statistic=0.88477261500756865, pvalue=0.37627928216718565)"
18,butter caramel,"RanksumsResult(statistic=1.6195837698443629, pvalue=0.10532171835211786)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)","RanksumsResult(statistic=1.4808694191863967, pvalue=0.13864137348137903)","RanksumsResult(statistic=1.589591477810208, pvalue=0.11192691928809488)","RanksumsResult(statistic=1.6195837698443629, pvalue=0.10532171835211786)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)"
