,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
0,cap vanilla custard v,"RanksumsResult(statistic=-0.093929223568016057, pvalue=0.92516537940628862)","RanksumsResult(statistic=0.04884319625536835, pvalue=0.96104425760164114)","RanksumsResult(statistic=-0.0075143378854412848, pvalue=0.99400448223969551)","RanksumsResult(statistic=-0.3531738806157404, pvalue=0.72395808802476447)","RanksumsResult(statistic=-0.11647223722433991, pvalue=0.90727828781016617)","RanksumsResult(statistic=0.16907260242242891, pvalue=0.86573953476468157)"
1,rootbeer,"RanksumsResult(statistic=0.18785844713603211, pvalue=0.8509876171077333)","RanksumsResult(statistic=-0.086414885682574771, pvalue=0.93113661413138293)","RanksumsResult(statistic=0.0976863925107367, pvalue=0.92218132107679607)","RanksumsResult(statistic=0.51473214515272803, pvalue=0.60674020741810386)","RanksumsResult(statistic=0.62369004449162668, pvalue=0.53283116243344486)","RanksumsResult(statistic=-0.5710896792935376, pvalue=0.56793885423288748)"
2,vanilla bean gelato,"RanksumsResult(statistic=1.4502672118901681, pvalue=0.14698401864359506)","RanksumsResult(statistic=0.04884319625536835, pvalue=0.96104425760164114)","RanksumsResult(statistic=0.75519095748684917, pvalue=0.45013441349304983)","RanksumsResult(statistic=1.1534508654152371, pvalue=0.24872537390917693)","RanksumsResult(statistic=1.6118254764271556, pvalue=0.10699992266660029)","RanksumsResult(statistic=-1.5592251112290665, pvalue=0.11894310941680074)"
3,fe lemon,"RanksumsResult(statistic=0.84536301211214449, pvalue=0.39790818932615968)","RanksumsResult(statistic=1.3037376231240629, pvalue=0.19232305687010454)","RanksumsResult(statistic=1.292466116295901, pvalue=0.19619577284593692)","RanksumsResult(statistic=0.04884319625536835, pvalue=0.96104425760164114)","RanksumsResult(statistic=-1.3676094951503139, pvalue=0.17143434273459179)","RanksumsResult(statistic=1.4202098603484028, pvalue=0.15554659387794492)"
4,caramel cream,"RanksumsResult(statistic=0.33438803590213717, pvalue=0.73808676630872405)","RanksumsResult(statistic=1.3037376231240629, pvalue=0.19232305687010454)","RanksumsResult(statistic=0.75519095748684917, pvalue=0.45013441349304983)","RanksumsResult(statistic=-0.3531738806157404, pvalue=0.72395808802476447)","RanksumsResult(statistic=-1.3676094951503139, pvalue=0.17143434273459179)","RanksumsResult(statistic=1.4202098603484028, pvalue=0.15554659387794492)"
5,menthol,"RanksumsResult(statistic=-1.649397165854362, pvalue=0.099066294977606953)","RanksumsResult(statistic=-1.5817681248853905, pvalue=0.11370251418247621)","RanksumsResult(statistic=-1.6118254764271556, pvalue=0.10699992266660029)","RanksumsResult(statistic=-1.6719401795106859, pvalue=0.094536118714842812)","RanksumsResult(statistic=-0.39450273898566746, pvalue=0.69320990541897665)","RanksumsResult(statistic=0.44710310418375643, pvalue=0.65480061783652144)"
6,d wine,"RanksumsResult(statistic=0.52600365198088994, pvalue=0.59888566957522027)","RanksumsResult(statistic=-0.19912995396419406, pvalue=0.84216109053312527)","RanksumsResult(statistic=0.15028675770882569, pvalue=0.88053838015002961)","RanksumsResult(statistic=1.0858218244462656, pvalue=0.27755782879483393)","RanksumsResult(statistic=1.2361085821550915, pvalue=0.21641820522330935)","RanksumsResult(statistic=-1.1835082169570024, pvalue=0.23660779192690939)"
7,tfa peanut butter,"RanksumsResult(statistic=0.84536301211214449, pvalue=0.39790818932615968)","RanksumsResult(statistic=1.3037376231240629, pvalue=0.19232305687010454)","RanksumsResult(statistic=1.292466116295901, pvalue=0.19619577284593692)","RanksumsResult(statistic=0.04884319625536835, pvalue=0.96104425760164114)","RanksumsResult(statistic=-1.3676094951503139, pvalue=0.17143434273459179)","RanksumsResult(statistic=1.4202098603484028, pvalue=0.15554659387794492)"
8,raspberry v,"RanksumsResult(statistic=1.1910225548424436, pvalue=0.23364473056922463)","RanksumsResult(statistic=0.51848931409544863, pvalue=0.6041169138215583)","RanksumsResult(statistic=0.97310675616464637, pvalue=0.33050024654187338)","RanksumsResult(statistic=0.79651981585677623, pvalue=0.42572996251300443)","RanksumsResult(statistic=1.2361085821550915, pvalue=0.21641820522330935)","RanksumsResult(statistic=-1.1835082169570024, pvalue=0.23660779192690939)"
9,strawberry cloud,"RanksumsResult(statistic=-0.72889077488780463, pvalue=0.46606847824085318)","RanksumsResult(statistic=0.2479731502195624, pvalue=0.80415518112267348)","RanksumsResult(statistic=-0.55230383457993448, pvalue=0.5807402038511329)","RanksumsResult(statistic=-1.0783074865608244, pvalue=0.28089655715363515)","RanksumsResult(statistic=-0.96934958722192577, pvalue=0.33237079609483999)","RanksumsResult(statistic=1.0219499524200146, pvalue=0.30680458835706659)"
